"City","FAA","IATA","ICAO","Airport","Role","Enplanements"
"Birmingham","BHM","BHM","KBHM","Birmingham-Shuttlesworth International Airport","P-S",1443215
"Dothan","DHN","DHN","KDHN","Dothan Regional Airport","P-N",41453
"Huntsville","HSV","HSV","KHSV","Huntsville International Airport (Carl T. Jones Field)","P-S",606127
"Mobile","MOB","MOB","KMOB","Mobile Regional Airport","P-N",277232
"Montgomery","MGM","MGM","KMGM","Montgomery Regional Airport (Dannelly Field)","P-N",194540
"Anchorage","ANC","ANC","PANC","Ted Stevens Anchorage International Airport","P-M",2342310
"Anchorage","MRI","MRI","PAMR","Merrill Field","P-N",14972
"Aniak","ANI","ANI","PANI","Aniak Airport","P-N",16394
"Barrow","BRW","BRW","PABR","Wiley Post–Will Rogers Memorial Airport","P-N",40141
"Bethel","BET","BET","PABE","Bethel Airport (also see Bethel Seaplane Base)","P-N",144353
"Cordova","CDV","CDV","PACV","Merle K. (Mudhole) Smith Airport","P-N",17856
"Deadhorse / Prudhoe Bay","SCC","SCC","PASC","Deadhorse Airport (Prudhoe Bay Airport)","P-N",37319
"Dillingham","DLG","DLG","PADL","Dillingham Airport","P-N",42927
"Emmonak","ENM","EMK","PAEM","Emmonak Airport","P-N [nb 1]",10537
"Fairbanks","FAI","FAI","PAFA","Fairbanks International Airport","P-S",435392
"Galena","GAL","GAL","PAGA","Edward G. Pitka Sr. Airport","P-N [nb 2]",12421
"Homer","HOM","HOM","PAHO","Homer Airport","P-N",38407
"Hoonah","HNH","HNH","PAOH","Hoonah Airport (also see Hoonah Seaplane Base)","P-N [nb 3]",10759
"Juneau","JNU","JNU","PAJN","Juneau International Airport","P-S",344057
"Kenai","ENA","ENA","PAEN","Kenai Municipal Airport","P-N",86857
"Ketchikan","KTN","KTN","PAKT","Ketchikan International Airport","P-N",100138
"King Salmon","AKN","AKN","PAKN","King Salmon Airport","P-N",41514
"Kodiak","ADQ","ADQ","PADQ","Kodiak Airport","P-N",80303
"Kotzebue","OTZ","OTZ","PAOT","Ralph Wien Memorial Airport","P-N",62177
"Manokotak","MBA","KMO","PAMB","Manokotak Airport","P-N",12409
"Nome","OME","OME","PAOM","Nome Airport","P-N",56658
"Petersburg","PSG","PSG","PAPG","Petersburg James A. Johnson Airport","P-N",18468
"Sitka","SIT","SIT","PASI","Sitka Rocky Gutierrez Airport","P-N",64536
"Unalakleet","UNK","UNK","PAUN","Unalakleet Airport","P-N",12693
"Unalaska","DUT","DUT","PADU","Unalaska Airport (Tom Madsen Airport)","P-N",26711
"Valdez","VDZ","VDZ","PAVD","Valdez Airport (Pioneer Field)","P-N",15739
"Wrangell","WRG","WRG","PAWG","Wrangell Airport (also see Wrangell Seaplane Base)","P-N",10882
"Yakutat","YAK","YAK","PAYA","Yakutat Airport (also see Yakutat Seaplane Base)","P-N",10035
"Bullhead City","IFP","IFP","KIFP","Laughlin/Bullhead International Airport","P-N",121468
"Flagstaff","FLG","FLG","KFLG","Flagstaff Pulliam Airport","P-N",62109
"Grand Canyon / Tusayan","GCN","GCN","KGCN","Grand Canyon National Park Airport","P-N",318622
"Mesa","IWA","AZA","KIWA","Phoenix-Mesa Gateway Airport","P-N",417862
"Page","PGA","PGA","KPGA","Page Municipal Airport","P-N",20264
"Peach Springs","1G4","GCW","","Grand Canyon West Airport","P-N",60682
"Phoenix","PHX","PHX","KPHX","Phoenix Sky Harbor International Airport","P-L",18907171
"Tucson","TUS","TUS","KTUS","Tucson International Airport","P-M",1844228
"Yuma","NYL","YUM","KNYL","Yuma International Airport / MCAS Yuma","P-N",82163
"Fayetteville","XNA","XNA","KXNA","Northwest Arkansas Regional Airport","P-S",549195
"Fort Smith","FSM","FSM","KFSM","Fort Smith Regional Airport","P-N",83902
